divulge,"vt.泄露,暴露"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
buoyant,"adj.有浮力的,轻快的"
premonitory,adj.有预兆的
abreast,"adv.并肩地,并排地"
obstinate,"adj.倔强的,顽固的"
redeem,"vt.赎回,挽回,恢复,补偿,兑换"
debacle,"n.崩溃,溃裂"
omit,"vt.省略,疏忽,遗漏"
boon,"n.恩惠,实惠,福利"
hidebound,"adj.营养不良的,量小的,死板的"
sullen,"adj.愠怒的,沉沉不乐的,(天气等)阴沉的"
prudent,adj.谨慎的
juxtapose,"vt.并置,并列"
noxious,adj.有害的
obnoxious,"adj.不愉快的,讨厌的"
laborious,"adj.(指工作)艰苦的,费力的,(指人)勤劳的"
rhapsody,n.狂想曲
stanch,"vt.使止血,止,止流,止血adj.不透水的,坚强的,忠实的"
divert,"v.转移,转向,使高兴"
bungle,v.办糟
pendulum,"n.钟摆,摇锤"
fixate,"vi.视线移向,注视vt.使固定,注视,凝视,集中(眼)力"
aghast,"adj.惊骇的,吓呆的"
obdurate,"adj.冷酷无情的,顽固的,执拗的"
foresight,"n.远见,深谋远虑"
glamorous,"adj.富有魅力的,迷人的"
relegate,"v.转移,归入,提交"
apostle,"n.使徒(指耶稣十二使徒),传道者,最初的传道者"
foreground,"n.前景,最显著的位置"
pious,"adj.虔诚的,尽责的"
self-righteous,
brandish,vt.挥舞n.挥舞
erroneous,"adj.错误的,不正确的"
feasible,"adj.可行的,切实可行的"
schism,"n.(政治组织等的)分裂,教派"
notorious,adj.声名狼籍的
providential,adj.幸运的
tumultuous,adj.喧嚣的
panache,"n.羽饰,华丽"
gawky,"adj.迟钝的,笨拙的"
virulent,"adj.剧毒的,致命的,刻毒的,[医]有病毒的,恶毒的,充满敌意的,恶性的"
malignant,adj.恶性的
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
abridge,"v.删节,削减,精简"
lurid,"adj.<罕>苍白的,可怕的,血红的,耸人听闻的"
copious,"adj.很多的,广识的,丰富的"
negligent,"adj.疏忽的,粗心大意的"
sartorial,"adj.裁缝的,缝纫的,[解]缝匠肌的"
supersede,"vt.代替,取代,接替,紧接着...而到来,[律]延期vi.推迟行动"
thrill,v.发抖
approbate,"vt.许可,认可,承认"
relinquish,v.放弃
replenish,v.补充
curtail,"vt.缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
manacle,"n.手铐,脚镣,束缚vt.给...上手铐,束缚"
rein,"n.缰绳,统治,支配vt.以缰绳控制,统治,驾驭vi.勒住马,止住"
bridle,"n.马勒,缰绳v.上笼头,昂首(表傲慢.愤怒等),抑制(欲望)"
grant,"vt.同意,准予,承认(某事为真)～"
digress,v.离题
entrench,v.以壕沟防护
prowess,n.威力
secular,adj.长期的
ecstatic,"n.狂喜的人adj.狂喜的,心醉神迷的,入迷的"
euphoria,"n.精神欢快.欣快,兴高采烈,[心]欣快症"
disgruntle,vt.使不高兴
gracious,"adj.亲切的,高尚的"
humdrum,adj.单调的
polarize,"v.(使)偏振,(使)极化,(使)两极分化"
hand-wringing,
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
vanquish,"vt.征服,击败,克服"
triumph,"n.胜利,成功v.获得胜利"
forge,"v.稳步前进,铸造,伪造"
garrulous,"adj.饶舌的,啁啾的,多嘴的"
prevaricate,v.支吾搪塞
eclectic,"adj.折衷的,折衷学派的n.折衷主义者,折衷派的人"
haughty,adj.傲慢的
dismantle,v.拆除
propagate,"v.繁殖,传播,宣传"
caricature,"n.讽刺画,漫画,讽刺描述法,歪曲(或拙劣)的模仿vt.画成漫画讽刺"
abrade,"v.磨损,摩擦,折磨"
blight,"n.枯萎病,不良影响,打击vt.破坏,使枯萎"
pristine,adj.质朴的
apposite,adj.适当的
germane,adj.有密切关系的
fitful,"adj.断断续续的,一阵阵的,间歇的,不定的,不规则的"
imperturbable,"adj.沉着的,冷静的"
exigent,"adj.紧急的,迫切的,苛求的,要求很高的"
surrogate,"n.代理,代用品,代理人vt.使代理,使代替"
erstwhile,"adv.<古>以前,往昔地adj.以前的,往昔的"
onetime,
florid,"adj.华丽的,红润的,炫耀的,绚丽的"
defame,v.诽谤
inveigle,v.诱骗
timorous,adj.胆小的
omniscient,"adj.全知的,无所不知的n.无所不知者,[宗]上帝"
interminable,"adj.无限的,冗长的"
posture,"n.(身体的)姿势,体态,状态,情况,心境,态度v.令取某种姿势,摆姿势,作出姿态"
narcissism,"n.自我陶醉,自恋"
substantiate,"vt.使实体化,证实"
snare,n.陷井v.诱捕
forestall,"vt.之前,先...(用先发制人的方法)预防,阻止,囤积居奇,行动,用先发制人的方法预防,,垄断,阻碍"
beholden,adj.对...表示感谢
indebted,"adj.负债的,感恩的"
impute,"vt.归罪于,归咎于,归因于"
brazen,"adj.黄铜制的,厚颜无耻的"
nettle,n.荨麻
contemptuous,"adj.轻蔑的,侮辱的"
objurgation,"n.叱责,非难"
nascent,adj.初生的
token,"n.表示,向征,记号,代币adj.象征的,表意的"
residual,"adj.剩余的,残留的"
deft,"adj.敏捷熟练的,灵巧的"
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
adroit,"adj.熟练的,机捷的"
plentiful,"adj.许多的,大量的,丰富的,丰饶的"
bountiful,"adj.慷慨的,宽大的"
clearheaded,adj.头脑清楚的
interweave,"v.(使)交织,织进,(使)混杂"
impolitic,"adj.失策的,不得当的,不审慎的,没见识的"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
prerogative,n.特权
vigilant,"adj.警惕着的,警醒的"
clumsy,adj.笨拙的
fringe,"n.边缘,须边,刘海adj.边缘的,额外的v.在...上加以缘饰,成为...的边缘"
denigrate,v.毁誉
implore,"vt.恳求,哀求"
supplicate,"v.恳求,哀求,恳请,祈祷"
willful,"adj.任性的,故意的"
entreaty,"n.恳求,乞求"
notwithstanding," prep.虽然,尽管adv.尽管,还是 conj.虽然,尽管"
insipid,"adj.没有味道的,平淡的"
modish,"adj.流行的,时髦的"
salubrious,adj.有益健康的
treacherous,"adj.背叛的,背信弃义的,奸诈的,叛逆的"
objectionable,"adj.引起反对的,讨厌的"
recrudesce,"vi.复发,再发作"
tangible,adj.切实的
nebulous,"adj.星云的,云雾状的,模糊的,朦胧的"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
aberrant,adj.异常的
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
slender,"adj.苗条的,微薄的,微弱的"
garner,v.储存
recruit,"n.新兵,新分子,新会员vt.使恢复,补充,征募vi.征募新兵,复原"
provision,"n.供应,(一批)供应品,预备,防备,规定"
prompt,"n.提示,付款期限vt.提示,鼓动,促使,(给演员)提白adj.敏捷的,迅速的,即时的adv.准时地"
assail,"vt.攻击,质问"
endow,"v.捐赠,赋予"
intrude,"vi.闯入,侵入vt.强挤入,把(自己的思想)强加于人"
designate,"vt.指明,指出,任命,指派v.指定,指派"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
abolish,"vt.废止,废除(法律、制度、习俗等)"
bestow,"vt.给予,安放"
compile,"vt.编译,编辑,汇编"
requisite,"adj.需要的,必不可少的,必备的n.必需品"
splendor,"n.光彩,壮观,杰出"
exempt,v.免除adj.被免除的
invoke,v.调用
entrust,v.委托
alliance,"n.联盟,联合"
periodical,"adj.周期的,定期的n.期刊,杂志"
spacious,"adj.广大的,大规模的"
eligible,"adj.符合条件的,合格的"
strenuous,"adj.奋发的,使劲的,紧张的,热烈的,艰辛发奋的"
adjacent,"adj.邻近的,接近的"
wrench,"n.扳钳,扳手,猛扭,痛苦,扭伤,歪曲vt.猛扭,使扭伤,曲解,抢,折磨vi.猛扭,绞痛"
confiscate,"vt.没收,充公,查抄,征用adj.被没收的"
ferocious,"adj.凶恶的,残忍的,凶猛的,<口>十分强烈的,极度的"
velocity,"n.速度,速率,迅速,周转率"
consign,"vt.托运,委托"
grapple,v.格斗
deviate,"vi.背离,偏离v.偏离"
prodigious,adj.巨大的
induce,"vt.劝诱,促使,导致,引起,感应"
assimilate,v.吸收
encroach,"vi.(逐步或暗中)侵占,蚕食,超出通常(或正常)界线"
embody,"vt.具体表达,使具体化,包含,收录"
coincide,"vi.一致,符合"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
subdue,v.征服
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
dwell,"vi.居住,踌躇"
comprise,"v.包含,由...组成"
vicinity,"n.邻近,附近,接近"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
pillage,v.掠夺n.掠夺
pinnacle,"n.小尖塔,山顶,顶点vt.造小尖塔,把...放在极高处"
ailment,"n.疾病(尤指微恙),不宁,不安"
apprentice,n.学徒v.当学徒
preoccupied,"adj.被先占的,全神贯注的"
exhale,"v.呼气,发出,发散,<古>使蒸发"
rebuke,"n.指责,谴责,非难vt.斥责,指责,非难,成为对...的指摘"
cavalier,"n.骑士,武士,对女人献殷勤,有礼貌的绅士"
hereditary,"adj.世袭的,遗传的"
shallow,"adj.浅的,浅薄的"
deflect,"v.(使)偏斜,(使)偏转"
finesse,"n.手腕,精密技巧,灵巧,策略,手段v.用计谋处理,出小牌,用巧计实现"
belated,"adj.误期的,迟来的"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
levity,"n.轻率,轻浮,不稳定,多变"
insidious,adj.阴险的
amass,"vt.收集,积聚(尤指财富)"
ostensible,"adj.可公开得,(指理由等)表面的,虚假的"
somber,"adj.阴森的,昏暗的,阴天的,忧郁的"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
contour,"n.轮廓,周线,等高线"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
voluminous,"adj.卷数多的,大部分的,著书多的,容积大的,体积大的,丰满的,长篇的,庞大的"
revile,"v.辱骂,斥责"
corporeal,"adj.肉体的,物质的,有形的"
oscillate,v.振荡
monarchy,"n.君主政体,君主政治,君主国"
inoculate,"vt.接种,嫁接"
subsist,"v.生存,存在,供养"
suffrage,"n.投票,选举权,参政权,[宗]代祷"
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
exile,"n.放逐,充军,流放,流犯,被放逐者vt.放逐,流放,使背井离乡"
inhospitable,"adj.冷淡的,不好客的,(地带,气候等)不适合居住的,(指地方)荒凉的"
oblique,"adj.倾斜的,间接的,不坦率的,无诚意的"
bequeath,"vt.遗赠,遗留,把...传下去"
retention, 保持力
ramify,"v.(使)分枝,(使)分叉,(使)成网状"
prescribe,"v.指示,规定,处(方),开(药)"
deprive,"vt.剥夺,使丧失"
necessitate,v.成为必要
inhale,vt.吸入vi.吸气
dexterity,"n.灵巧,机敏"
ooze,"n.[地] 软泥v.渗出,泄漏"
patronize,v.资助
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
overdue,adj.迟到的
brusque,"adj.唐突的,直率的,粗暴的,无礼的"
prose,n.散文
uprising,"n.起义,升起"
touchstone,"n.试金石,标准"
purveyor,"n.承办商,伙食承办商"
parody,"n.模仿滑稽作品,拙劣的模仿vt.拙劣模仿"
decimate,"vt.每十人杀一人,大批杀害"
decipher,"vt.译解(密码等),解释n.密电译文"
amenable,"adj.应服从的,有服从义务的,有责任的"
siphon,n.虹吸管
annotate,"v.注释,评注"
procure,"v.获得,取得"
hiatus,"n.裂缝,脱落"
cantankerous,"adj.脾气坏的,爱吵架的,刚愎的,任性的"
escalate,"vi.逐步升高,逐步增强vt.使逐步上升"
bombard,
vernacular,adj.本国的
prevail,"vi.流行,盛行,获胜,成功"
scenario,"n.想定 游戏的关,或是某一特定情节"
hitherto,"adv.迄今,至今"
vertiginous,"adj.旋转的,眩晕的,眼花的,迅速变化的,不稳定的"
bravado,"n.虚张声势,装作有自信的样子"
steadfast,adj.坚定的
oblivious,"adj.遗忘的,忘却的,健忘的"
refractory,"adj.难控制的,难熔的"
resign,"n.辞去(职务)v.辞去,辞职"
abiding,v.容忍;adj.持久的
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少"
debonair,"adj.殷勤的,高兴的,快活的,温文尔雅的"
infuriate,adj.狂怒的vt.激怒
crestfallen,adj.垂头丧气的
wistful,"adj.渴望的,想望的"
concur,v.同时发生
boast,"n.自夸,值得夸耀的事物v.自夸,以有...而自豪"
extrapolate,"v.推断,[数]外推"
resemble,"vt.象,类似"
ordain,"vt.注定,规定,任命(牧师)vi.颁布命令"
mirth,"n.欢笑,高兴"
jovial,"adj.快活的,高兴的,愉快的,[宗](主神)朱庇特的"
cajole,"vt.以甜言蜜语哄骗,勾引"
baneful,"adj.有害的,使人苦恼的"
identical,"adj.同一的,同样的"
proscribe, 禁止
arguably,"adv.可论证地,正如可提出证据加以证明的那样"
obstreperous,"adj.喧嚣的,任性的"
volition,n.意志
hectic,"adj.脸上发红,发热的,兴奋的,狂热的,肺病的n.脸红,患肺结核"
sumptuous,"adj.奢侈的,华丽的"
gravitate,"v.受引力作用,(受)吸引,倾向,移动"
particularize,"v.详细说明,列举,大书特书"
albeit, conj.虽然
abet,"vt.教唆,煽动,帮助,支持"
anodyne,"n.止痛剂,镇痛剂adj.止痛的"
credulous,adj.轻信的
asunder,"adv.分离,成碎片"
petulant,"adj.脾气坏的,使性子的"
winnow,"vt.簸,扬(谷),吹开糠皮,吹掉,精选vi.扬谷,分出好坏,飞行n.扬谷,扬谷器"
yearn,"vi.渴望,想念,怀念,向往"
indulgent,adj.纵容的
preside,v.主持
meretricious,"adj.华丽而庸俗的,俗气的,娼妓的,适合娼妓的"
burgeon,n.嫩芽v.萌芽
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
gigantic,"adj.巨人般的,巨大的"
snub,"n.故意怠慢,斥责v.故意怠慢,责骂,压熄(香烟等),冷落慢待"
underplay,"vt.使没有充分发挥作用,扣着大牌不出而出小牌,表演有克制,对...轻描淡写,表演不充分vi.表演角色不充分n.秘密行动,不充分的表演"
obliterate,"vt.涂去,删除,使湮没"
seethe,v.沸腾
morph,
subservient,"adj.屈从的,有帮助的,有用的,奉承的"
obtuse,"adj.钝的,圆头的,愚蠢的,迟钝的"
trenchant,adj.锋利的
instigate,v.鼓动
fusty,"adj.旧式的,霉臭的,陈腐的,古板的"
cease,"v.停止,终了"
implicate,"vt.使牵连其中,含意,暗示n.包含的东西"
vituperate,"vt.谩骂,责骂"
rattle,"v.发出卡嗒卡嗒声,喋喋不休,急忙地做n.吓吱声,喋喋不休的人"
molder,"vi.腐朽,崩溃,分裂vt.使腐朽n.铸工,制模工"
transmogrify,"vt.使变形,使变成奇形怪状"
choreograph,v.设计舞蹈动作
incipient,adj.初始的
antiquarian,"n.古文物研究者,收集古文物者adj.古文物研究的"
boisterous,"adj.狂暴的,喧闹的"
renounce,v.断绝关系
compartmentalize,
maelstrom,"n.大漩涡,挪威近海的大漩涡,猛烈的力量"
captious,"adj.吹毛求疵的,挑剔的"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
fealty,"n.(对封建主义的)效忠,孝顺,忠诚,忠贞,忠实"
bristle,"n.刚毛,猪鬃vi.(毛发等)竖起,发怒"
await,vt.等候
languish,"vi.憔悴,凋萎,衰退,苦思"
nugatory,"adj.无价值的,没有力量的,无效的"
inept,"adj.不适当的,无能的,不称职的"
spartan,"n.斯巴达人,刚毅之人adj.斯巴达的"
ancillary,"adj.补助的,副的"
sequester,"adv.幽静的,隐蔽的vt.使隐退,使隔绝,扣押,没收"
hasty,"adj.匆忙的,草率的"
budding,"adj.萌芽的,发育的,少壮的n.发芽"
vainglory,"n.自负,极度的虚荣心"
consummate,"vt.完成,使达到极点adj.圆满的,至上的,完美的"
like-minded,
ecumenical,"adj.一般的,普通的"
ardent,"adj.热心的,热情洋溢的,激烈的,燃烧般的"
rescind,v.废除
distend,"v.(使)扩大,(使)扩张"
self-regard,
subterfuge,n.托词
agglomerate,"n.大团,大块adj.成块的,凝聚的vt.使成团,使成块,使凝聚vi.成团,成块,凝聚"
goad,"n.(赶牲口用的)刺棒,激励物,刺激物vt.用刺棒驱赶,驱策,激励,刺激,唆使,煽动"
surfeit,"n.过食,过度,恶心vt.使饮食过度,使沉溺于vi.饮食过度"
transitory,adj.短时间的
prolix,"adj.冗长的,说话罗嗦的"
exactitude,"n.正确,精密,精确,严格,规规矩矩"
chastise,"vt.严惩,惩罚"
protract,v.延长
stymie,"n.[高尔夫]妨碍球v.从中作梗,完全妨碍"
seminal,"adj.种子的,精液的,生殖的"
authoritarian,"adj.独裁的,独裁主义的"
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
tepid,"adj.微温的,温热的,不太热烈的,不热情的"
malodor,n.恶臭
senescence,"n.老朽,衰老"
decrepitude,"n.衰老,老朽,老耄"
self-styled,
cognizant,adj.认知的
conversant,"adj.亲近的,有交情的,熟悉的"
tribulation,"n.苦难,忧患,磨难"
open-ended,
falsify,v.伪造
panorama,"n.全景 全景画,全景摄影"
beleaguer,"vt.围,围攻"
incumbent,"adj.职责所在的,负有...义务的"
hermetic,"adj.密封的,与外界隔绝的"
encapsulate,"vt.装入胶囊,压缩vi.形成胶囊"
interdisciplinary, 各学科间的
impunity,"n.不受惩罚,免罚,无患"
reprisal,n.报复
myopic,adj.近视的
tarnish,v.失去光泽
sublime,"adj.庄严的,崇高的,壮观的,卓越的,极端的,异常的v.提高,(使)变高尚,(使)纯化,(使)升华n.庄严,崇高,顶点"
remonstrate,v.抗议
commiserate,"v.怜悯,同情"
expostulate,"vi.劝诫,忠告"
anneal,"n.退火,焖火,锻炼,磨练(意志)"
vicissitude,n.变迁兴衰
piecemeal,v.粉碎
verbose,"adj.详细的,冗长的"
polyglot,"adj.通晓数种语言,数种语言的n.通晓数种语言的人,用通晓数种语言记载的书"
machination,n.诡计
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
nefarious,"adj.邪恶的,穷凶极恶的"
lachrymose,"adj.爱哭的,悲哀的"
enmity,"n.敌意,憎恨"
indignant,"adj.愤怒的,愤慨的"
confront,"vt.使面临,对抗"
minutia,"n.细节,琐事,细目"
commensurable,"adj.可以同单位度量的,能较量的"
discriminatory,"adj.有辨识力的,有差别的"
sabotage,"n.(不满的职工或敌特等的)阴谋破坏,怠工,破坏vi.从事破坏活动vt.对...采取破坏行动,妨害,破坏"
commend,"vt.称赞,表扬,推荐,委托,吸引"
gossamer,"n.小蜘蛛网,蛛丝,薄纱,轻而弱者adj.薄弱的,轻飘飘的"
lenient,"adj.宽大的,仁慈的,慈悲为怀的"
rectitude,"n.正直,公正,清廉,笔直"
enamor,"vt.使倾心,使迷恋"
immure,"vt.监禁,禁闭,把...嵌在墙上"
impudent,"adj.放肆无礼的,,厚颜无耻的"
insolent,"n.侮慢无礼的人adj.傲慢的,无礼的,侮慢的"
irenic,"adj.和平主义的,和平的"
shear,"v.剪,修剪,剪切"
coruscate,"vi.闪烁,焕发"
hideous,"v.骇人听闻的,可怕的adj.丑恶的"
trumpet,n.喇叭
strident,"adj.轧轧响的,刺耳的,尖锐的"
muckrake,n.揭开丑闻的文章vt.揭发丑闻
proffer,v.提供n.提供
revel,v.狂欢n.狂欢
predicate,n.谓词v.断言
prophylactic,"adj.预防疾病的n.预防药,避孕药"
pilfer,"v.盗,偷,窃"
constrict,v.压缩
imbibe,v.吸收
quaff,"v.一口气喝干,大口地喝n.一饮而尽,痛饮"
crumble,"v.弄碎,粉碎,崩溃n.面包屑"
disintegrate,"vt.(使)分解,(使)碎裂"
brook,n.小溪vt.容忍
muddle,"vt.混合,使微醉,使咬字不清晰,鬼混vi.胡乱对付n.困惑,混浊状态,糊涂"
unerring,"adj.无过失的,正确的"
provenance,"n.起源,出处"
inscrutable,"adj.难以了解的,不能预测的"
genial,adj.亲切的
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
supple,"adj.柔软的,逢迎的,顺从的vt.使柔软,使顺从vi.变柔顺"
contravene,v.违反 抵触
ungainly,"adj.难看的,不象样的,笨拙的adv.笨拙地,难看地,不雅地"
ludicrous,"adj.可笑的,滑稽的,愚蠢的"
dispatch,"vt.分派,派遣n.派遣,急件"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
chimera,"n.[希神]狮头,羊身,蛇尾的吐火怪物,妖怪,狂想"
ominous,"adj.预兆的,恶兆的,不吉利的"
limpid,adj.清澈的
forsake,"vt.放弃,抛弃"
exonerate,"vt.免除,证明无罪"
annihilate,"vt.消灭,歼灭"
surmise,v.猜测n.猜度
rapprochement,"n.和睦,亲善"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
wield,v.挥
guzzle,"v.狂饮,暴食,喝酒化掉(钱)"
kinfolk,n.亲属
divergent,adj.分歧的
vestige,"n.遗迹,痕迹,残余,丝毫,[生]退化的器官"
profusion,n.丰富
forebode,"v.预示,预言,预兆,预感"
calamity,"n.灾难,不幸事件"
beget,"vt.(书面语) 招致,产生,引起"
reprehensible,"adj.应斥责的,应该谴责的"
divest,v.剥夺
wondrous,"adj.令人惊奇的,非常的"
recalcitrant,"adj.反抗的,反对的,顽抗的n.反抗的人,顽抗者"
succinct,"adj.简洁的,紧身的,压缩在小范围内的"
recrudescent,adj.复发的
frugal,"adj.节俭的,朴素的"
unseemly,"adj.不体面的,不适宜的,不恰当的adv.不体面地"
preternatural,adj.超自然的
provident,adj.有远见的
interlope,"v.(为图私利)干涉他人之事,闯入"
coterie,"n.同行,圈内人,伙伴"
aplomb,"n.沉着,泰然,垂直"
bemoan,vt.哀叹
mediate,"v.仲裁,调停,作为引起...的媒介,居中调停"
exposé,
reticent,adj.沉默寡言的
myriad,"n.无数,无数的人或物,<诗>一万adj.无数的,一万的,种种的"
expurgate,v.删除
triumvirate,"n.三人执政,三头政治,三头统治,三人执政的政治"
indefatigable,adj.不知疲倦的
paean,"n.欢乐歌,赞美歌"
hallmark,n.特点
potent,"adj.有力的,有效的"
lopsided,"adj.倾向一方的,不平衡的"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
adamant,adj.坚硬的
melancholy,n.忧郁adj.忧郁
unalloyed,adj.纯粹的
spew,v.喷涌
maze,"n.曲径,迷宫,迷津,迷惘,迷惑,糊涂vt.使迷惘,使混乱,迷失"
misfeasance,"n.不法行为,不当行为"
rebellious,"adj.造反的,反叛的,反抗的,难于对付的"
durable,"adj.持久的,耐用的"
varnish,"n.清漆,凡立水,光泽面,掩饰v.修饰"
labyrinthine,"adj.迷宫(似)的,曲折的"
mar,"v.弄坏,毁坏,损害n.损伤,毁损,障碍n.(Mar) 三月(=March)"
platitude,n.陈词滥调
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
meld,"v.混合,合并"
tremendous,"adj.极大的,巨大的"
scatter,"v.分散,散开,撒开,驱散"
concise,"adj.简明的,简练的"
oracle,"n.[宗](古希腊)神谕,预言,神谕处,神使,哲人,圣贤 美国ORACLE公司,主要生产数据库产品,也是主要的网络计算机的倡导者"
extenuate,"vt.掩饰,减轻,使人原谅,低估,<古>使稀薄"
viable,"adj.能养活的,能生育的,可行的"
midst,n.中间 prep.在...中间
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
cliché,
contiguous,"adj.邻近的,接近的,毗边的"
endanger,vt.危及
boorish,"adj.农民的,乡土气的,粗野的,粗鄙的"
high-minded,
de-emphasize,
poise,"n.平衡,均衡,姿势,镇静,砝码vt.使平衡,使悬着,保持...姿势vi.平衡,悬着,准备好,犹豫"
quandary,"n.困惑,窘境,进退两难"
ploy,"n.策略,趣味,工作"
temptation,"n.诱惑,诱惑物"
oppressive,"adj.压制性的,压迫的,沉重的,难以忍受的"
hyperbole,n.[修辞]夸张法
trickster,"n.骗子,魔术师"
genteel,adj.上流社会的
impassioned,adj.热情洋溢的
deduce,"vt.推论,演绎出"
flip,"vt.掷,弹,轻击,(用鞭等)抽打,空翻vi.用指轻弹,抽打,翻动书页(或纸张),蹦跳n.抛,弹,筋斗adj.无礼的,冒失的,轻率的"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
diffident,
neutralize,v.压制
controvert,"vt.议论,辩论vi.参加辩论"
succumb,"vi.屈服,屈从,死"
fury,"n.狂怒,狂暴,激烈,狂怒的人,<希神>复仇女神"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
conspire,"v.共谋,阴谋,(指事件)凑合起来"
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
imperial,adj.皇帝的
paraphernalia,n.随身用具
cast-iron,
detritus,n.碎石
rivalry,"n.竞争,竞赛,敌对,敌对状态"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
avant-garde,
stipulate,"v.规定,保证"
dispense,"vt.分发,分配"
leach,v.滤去
brackish,"adj.有盐味的,可厌的"
malodorous,adj.有恶臭的
redolent,adj.芬芳的
noisome,"adj.有害的,有毒的"
adjudicate,"v.判决,宣判,裁定"
eschew,"vt.避开,远避"
abbreviate,"v.缩写,缩短,简化,简写成,缩写为"
contingent,"adj.可能发生的,附随的,暂时的n.偶然的事情,分遣队"
auspicious,"n.吉兆的,幸运的"
essential,"adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点"
bootless,"adj.无用的,无益的"
posit,v.安置
accrete,"vi.共生,合生,附着;vt.使依附,使连接;adj.共生的"
adjunct,"n.附件,助手adj.附属的"
abound,"vi.多,大量存在,富于,充满"
subsequent,"adj.后来的,并发的"
heretofore,"adv.直到此时,迄今,此时以前"
preponderance,"n.优势,占优势"
uncompromising," /adv.坚决地,/adj.不妥协的,不煌仔"
moralistic,"adj.道学的,说教的,教训的"
benevolent,adj.慈善的
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
stalemate,n.僵局v.成为僵局
insatiable,"adj.不知足的,贪求无厌的"
snappish,adj.急躁的
peccadillo,"n.轻罪,小过失"
reparation,"n.赔偿,弥补,恢复,修理"
inextricable,"adj.无法解脱的,逃脱不掉的,解不开的"
impregnable,"adj.无法攻取的,要塞坚固的,不受影响的,可以受孕的的"
impotent,"adj.无力的,虚弱的,无效的,[医]阳萎的"
precede,"v.领先(于),在...之前,先于"
supplant,"vt.排挤掉,代替"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
beset,v.困扰
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
offish,adj.冷漠的
jockey,"n.职业赛马骑师,(机器的)操作员"
perceptive,adj.有理解的
shortcut,n.捷径
jubilant,"adj.欢呼的,喜悦的,喜洋洋的"
sensuous,"adj.感觉上的,给人美感的"
controversial,"adj.争论的,争议的"
seamy,"adj.露出线缝的,丑恶的"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
retain,"vt.保持,保留"
disproportionate,
